# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M4-P3	1.52272e+06		3.30022e+13
M4-P6	1.51834e+06		1.75535e+16
M4-Q2	1.64928e+06		2.97609e+14
M4-Q3	1.65239e+06		1.94339e+13
M4-Q6	1.64962e+06		9.89883e+15
M4-R2	1.7344e+06		1.90427e+14
M4-R3	1.73647e+06		1.24481e+13
M4-R6	1.73463e+06		6.18248e+15
M4-S2	1.79257e+06		1.29424e+14
M4-S3	1.79401e+06		8.46633e+12
M4-S6	1.79273e+06		4.13771e+15
M4-T2	1.81425e+06		2.81668e+14
M4-T3	1.81781e+06		1.2939e+13
M4-T6	1.81885e+06		2.93348e+15
M4-U2	1.84621e+06		2.0838e+14
M4-U3	1.84888e+06		9.58866e+12
M4-U6	1.84965e+06		2.15278e+15
M4-V2	1.87042e+06		1.58585e+14
M4-V3	1.87247e+06		7.30787e+12
M4-V6	1.87307e+06		1.62891e+15
M4-W2	1.8892e+06		1.23539e+14
M4-W3	1.89081e+06		5.69997e+12
M4-W6	1.89128e+06		1.26356e+15
M4-X2	1.90406e+06		9.81416e+13
M4-X3	1.90535e+06		4.53309e+12
M4-X6	1.90572e+06		1.00061e+15
M4-Y2	1.91602e+06		7.92781e+13
M4-Y3	1.91706e+06		3.66533e+12
M4-Y6	1.91737e+06		8.06339e+14
M4-Z2	1.92578e+06		6.49694e+13
M4-Z3	1.92664e+06		3.00636e+12
M4-Z6	1.9269e+06		6.59578e+14
M5-M3	29511.7		5.85069e+12
M5-N3	876078		1.89696e+15
M5-N6	862113		7.28209e+15
M5-N7	869998		1.11875e+17
M5-O3	1.27079e+06		8.17001e+14
M5-O6	1.26334e+06		2.32796e+15
M5-O7	1.26739e+06		3.72194e+16
M5-P3	1.48576e+06		4.25669e+14
M5-P6	1.48138e+06		1.08105e+15
M5-P7	1.48372e+06		1.76048e+16
M5-Q3	1.61543e+06		2.51153e+14
M5-Q6	1.61266e+06		6.00796e+14
M5-Q7	1.61414e+06		9.89353e+15
M5-R3	1.69951e+06		1.61076e+14
M5-R6	1.69767e+06		3.71844e+14
M5-R7	1.69865e+06		6.16702e+15
M5-S3	1.75705e+06		1.09658e+14
M5-S6	1.75577e+06		2.47365e+14
M5-S7	1.75646e+06		4.12232e+15
M5-T3	1.78086e+06		1.45539e+14
M5-T6	1.78189e+06		1.74775e+14
M5-T7	1.78239e+06		2.92018e+15
M5-U3	1.81192e+06		1.07833e+14
M5-U6	1.8127e+06		1.27868e+14
M5-U7	1.81307e+06		2.14184e+15
M5-V3	1.83551e+06		8.21726e+13
M5-V6	1.83611e+06		9.65291e+13
M5-V7	1.8364e+06		1.62e+15
M5-W3	1.85385e+06		6.40872e+13
M5-W6	1.85432e+06		7.47453e+13
M5-W7	1.85455e+06		1.2563e+15
M5-X3	1.86839e+06		5.09646e+13
M5-X6	1.86876e+06		5.91078e+13
M5-X7	1.86895e+06		9.94667e+14
M5-Y3	1.88011e+06		4.12067e+13
M5-Y6	1.88041e+06		4.75781e+13
M5-Y7	1.88056e+06		8.01428e+14
M5-Z3	1.88969e+06		3.37974e+13
M5-Z6	1.88994e+06		3.88827e+13
