# Z = 53, A = 127 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N3-\4	464451		7.85382e+12
N3-\5	464485		4.77608e+13
N3-]1	466869		-nan
N3-]4	466962		6.66728e+12
N3-]5	466992		4.05578e+13
N3-^1	469026		-nan
N3-^4	469106		-nan
N3-^5	469131		3.4735e+13
N4-N3	2669.62		4.67086e+09
N4-N6	3375.32		3.3951e+10
N4-O2	178976		3.60065e+14
N4-O3	182141		2.81982e+13
N4-O6	182491		3.9783e+15
N4-P2	277725		1.78463e+14
N4-P3	279541		1.41453e+13
N4-P6	279748		2.01376e+15
N4-Q2	327196		1.21673e+14
N4-Q3	329078		8.60202e+12
N4-Q6	329669		1.12843e+15
N4-R2	366008		7.69279e+13
N4-R3	367266		5.4489e+12
N4-R6	367662		7.13814e+14
N4-S2	392542		5.19266e+13
N4-S3	393424		3.68282e+12
N4-S6	393702		4.81751e+14
N4-T2	411478		3.67911e+13
N4-T3	412120		2.61135e+12
N4-T6	412322		3.41285e+14
N4-U2	425461		2.70627e+13
N4-U3	425943		1.92173e+12
N4-U6	426095		2.51031e+14
N4-V2	436080		2.05108e+13
N4-V3	436451		1.45691e+12
N4-V6	436568		1.90261e+14
N4-W2	444332		1.59296e+13
N4-W3	444624		1.13174e+12
N4-W6	444716		1.47776e+14
N4-X2	450873		1.26261e+13
N4-X3	451106		8.97198e+11
N4-X6	451179		1.17142e+14
N4-Y2	456143		1.01818e+13
N4-Y3	456333		7.23617e+11
N4-Y6	456393		9.44759e+13
N4-Z2	460453		8.33319e+12
N4-Z3	460609		5.92318e+11
N4-Z6	460659		7.7333e+13
N4-[2	464022		6.90847e+12
N4-[3	464152		4.91113e+11
N4-[6	464193		6.41203e+13
N4-\2	467011		5.79229e+12
N4-\3	467120		4.11815e+11
N4-\6	467155		5.37681e+13
N4-]2	469539		-nan
N4-]3	469632		3.48781e+11
N4-]6	469661		4.55393e+13
N4-^2	471696		-nan
N4-^3	471775		-nan
N4-^6	471801		3.8914e+13
N5-N6	203.128		523126
N5-N7	1773.31		5.28712e+09
N5-O3	178969		2.85333e+14
N5-O6	179319		2.83606e+14
N5-O7	180124		4.23681e+15
N5-P3	276368		1.42312e+14
N5-P6	276576		1.40272e+14
N5-P7	277042		2.12508e+15
N5-Q3	325906		8.61302e+13
N5-Q6	326497		7.78383e+13
N5-Q7	326788		1.18604e+15
N5-R3	364094		5.44738e+13
N5-R6	364489		4.89175e+13
N5-R7	364684		7.48928e+14
N5-S3	390252		3.67712e+13
N5-S6	390530		3.2878e+13
N5-S7	390666		5.04901e+14
N5-T3	408948		2.60565e+13
N5-T6	409150		2.32287e+13
N5-T7	409250		3.57416e+14
N5-U3	422771		1.91707e+13
N5-U6	422923		1.7054e+13
N5-U7	422998		2.62752e+14
N5-V3	433279		1.45332e+13
N5-V6	433396		1.29081e+13
N5-V7	433453		1.99063e+14
N5-W3	441452		1.12902e+13
N5-W6	441544		1.00156e+13
N5-W7	441589		1.54565e+14
N5-X3	447934		8.9513e+12
N5-X6	448007		7.93319e+12
N5-X7	448043		1.22495e+14
N5-Y3	453161		7.2203e+12
N5-Y6	453220		6.39422e+12
N5-Y7	453250		9.87746e+13
N5-Z3	457437		5.91084e+12
N5-Z6	457486		5.23136e+12
N5-Z7	457511		8.08396e+13
N5-[3	460980		4.90141e+12
N5-[6	461021		4.33578e+12
N5-[7	461041		6.70197e+13
N5-\3	463948		4.1104e+12
N5-\6	463983		3.63453e+12
N5-\7	464000		5.61938e+13
N5-]2	466367		-nan
N5-]3	466460		3.48155e+12
N5-]6	466489		3.07741e+12
N5-]7	466503		4.75895e+13
N5-^2	468523		-nan
N5-^3	468603		-nan
N5-^6	468628		2.62905e+12
N5-^7	468641		4.06629e+13
N6-O4	177379		9.76063e+13
N6-O5	179000		4.02225e+12
N6-O8	180034		6.7825e+15
N6-P4	275362		4.15683e+13
N6-P5	276297		1.71556e+12
N6-P8	276916		2.20583e+15
N6-Q4	325703		2.0646e+13
N6-Q5	326293		8.45147e+11
N6-Q8	326585		1.01815e+15
N6-R4	363891		1.24053e+13
N6-R5	364286		5.07905e+11
N6-R8	364481		5.77131e+14
N6-S4	390049		8.0961e+12
N6-S5	390326		3.31543e+11
N6-S8	390463		3.63594e+14
N6-T4	408745		5.60325e+12
N6-T5	408947		2.29415e+11
N6-T8	409047		2.45883e+14
N6-U4	422568		4.05223e+12
N6-U5	422720		1.65849e+11
N6-U8	422795		1.74981e+14
N6-V4	433076		3.03249e+12
N6-V5	433192		1.2406e+11
N6-V8	433250		1.29424e+14
N6-W4	441248		2.3324e+12
N6-W5	441340		9.53803e+10
N6-W8	441386		9.86728e+13
N6-X4	447730		1.83472e+12
N6-X5	447804		7.50007e+10
N6-X8	447840		7.70925e+13
N6-Y4	452958		1.4706e+12
N6-Y5	453017		6.00974e+10
N6-Y8	453047		6.14625e+13
N6-Z4	457234		1.19772e+12
N6-Z5	457283		4.89327e+10
N6-Z8	457308		4.98423e+13
N6-[4	460777		9.88971e+11
N6-[5	460818		4.03951e+10
N6-[8	460838		4.10108e+13
N6-\4	463745		8.26429e+11
N6-\5	463780		3.37495e+10
N6-\8	463797		3.41709e+13
N6-]4	466256		6.97901e+11
N6-]5	466286		2.84962e+10
N6-]8	466300		2.87864e+13
N6-^4	468400		-nan
N6-^5	468425		2.42864e+10
N6-^8	468438		2.44867e+13
N7-O5	177430		8.59454e+13
N7-O8	178464		2.47213e+14
N7-O9	178942		6.97693e+15
N7-P5	274727		3.65975e+13
N7-P8	275346		7.91258e+13
N7-P9	275622		2.25961e+15
N7-Q5	324723		1.81243e+13
N7-Q8	325014		3.62446e+13
N7-Q9	325188		1.04099e+15
N7-R5	362716		1.0873e+13
N7-R8	362911		2.04388e+13
N7-R9	363027		5.89599e+14
N7-S5	388756		7.08797e+12
N7-S8	388893		1.28351e+13
N7-S9	388975		3.7125e+14
N7-T5	407377		4.9022e+12
N7-T8	407477		8.66177e+12
N7-T9	407536		2.50961e+14
N7-U5	421150		3.54385e+12
N7-U8	421225		6.15524e+12
