# Z = 13, A = 27 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M4-[3	49831.1		1.61004e+09
M4-[6	49831.3		3.58689e+11
M4-\2	50007.8		1.38546e+10
M4-\3	50008.2		1.35238e+09
M4-\6	50008.3		3.007e+11
M4-]2	50157.7		-nan
M4-]3	50158		1.14705e+09
M4-]6	50158.1		2.54627e+11
M4-^2	50285.6		-nan
M4-^3	50285.9		-nan
M4-^6	50286		2.17548e+11
M5-N3	23018.5		1.87401e+12
M5-N6	23051		5.4156e+12
M5-N7	23056.5		8.12852e+13
M5-O3	33687		8.05293e+11
M5-O6	33705.2		1.78316e+12
M5-O7	33708		2.67946e+13
M5-P3	39472.9		4.2066e+11
M5-P6	39485.2		8.41434e+11
M5-P7	39486.9		1.26434e+13
M5-Q3	42951.3		2.48452e+11
M5-Q6	42961		4.71633e+11
M5-Q7	42962.1		7.09115e+12
M5-R3	45197.7		1.59096e+11
M5-R6	45206.1		2.9286e+11
M5-R7	45206.8		4.4051e+12
M5-S3	46726		1.07821e+11
M5-S6	46733.6		1.94597e+11
M5-S7	46734		2.92779e+12
M5-T3	46707		7.54172e+10
M5-T6	46707.7		1.36585e+11
M5-T7	46708.1		2.05537e+12
M5-U3	47529.1		5.58904e+10
M5-U6	47529.7		1.00234e+11
M5-U7	47529.9		1.50848e+12
M5-V3	48154.4		4.26035e+10
M5-V6	48154.8		7.58501e+10
M5-V7	48155		1.14159e+12
M5-W3	48641		3.32383e+10
M5-W6	48641.3		5.88477e+10
M5-W7	48641.5		8.85725e+11
M5-X3	49027		2.64419e+10
M5-X6	49027.3		4.6611e+10
M5-X7	49027.4		7.01569e+11
M5-Y3	49338.5		2.13871e+10
M5-Y6	49338.7		3.75695e+10
M5-Y7	49338.8		5.6549e+11
M5-Z3	49593.4		1.75479e+10
M5-Z6	49593.6		3.07384e+10
M5-Z7	49593.7		4.62674e+11
M5-[3	49804.7		1.45784e+10
M5-[6	49804.8		2.54776e+10
M5-[7	49804.9		3.83491e+11
M5-\3	49981.7		1.22451e+10
M5-\6	49981.8		2.13584e+10
M5-\7	49981.9		3.21488e+11
M5-]2	50131.2		-nan
M5-]3	50131.5		1.03857e+10
M5-]6	50131.6		1.80857e+10
M5-]7	50131.7		2.72225e+11
M5-^2	50259.2		-nan
M5-^3	50259.4		-nan
M5-^6	50259.5		1.54518e+10
M5-^7	50259.6		2.32577e+11
N1-O2	10515.9		4.52842e+12
N1-O3	10532.9		4.48368e+12
N1-P2	16308.9		2.69651e+12
N1-P3	16318.8		2.67777e+12
N1-Q2	19791.1		1.6967e+12
N1-Q3	19797.2		1.68519e+12
N1-R2	22039.6		1.12825e+12
N1-R3	22043.6		1.12193e+12
N1-S2	23569.1		7.83612e+11
N1-S3	23571.9		7.79881e+11
N1-T2	23550.8		5.5271e+11
N1-T3	23552.9		5.50337e+11
N1-U2	24373.4		4.15387e+11
N1-U3	24375		4.13727e+11
N1-V2	24999.1		3.19983e+11
N1-V3	25000.3		3.18762e+11
N1-W2	25485.9		2.51674e+11
N1-W3	25486.9		2.50743e+11
N1-X2	25872.2		2.01495e+11
N1-X3	25873		2.00765e+11
N1-Y2	26183.8		1.63812e+11
N1-Y3	26184.4		1.63228e+11
N1-Z2	26438.8		1.34968e+11
N1-Z3	26439.3		1.34491e+11
N1-[2	26650.1		1.12515e+11
N1-[3	26650.6		1.12122e+11
N1-\2	26827.2		9.4779e+10
N1-\3	26827.6		9.44498e+10
N1-]2	26977.1		-nan
N1-]3	26977.4		8.03044e+10
N1-^2	27105.1		-nan
N1-^3	27105.3		-nan
N2-N1	168.91		1.28074e+08
N2-N4	45.4967		2.00885e+06
N2-O1	10770.8		1.15274e+12
N2-O4	10708.7		7.2541e+12
N2-P1	16527.1		6.44332e+11
N2-P4	16492.4		4.21815e+12
N2-Q1	19990.5		3.90009e+11
N2-Q4	19969.9		2.60606e+12
N2-R1	22228.4		2.53741e+11
N2-R4	22215.8		1.71205e+12
N2-S1	23751.5		1.73745e+11
N2-S4	23743.8		1.17913e+12
N2-T1	23719.7		1.3083e+11
N2-T4	23721.8		8.28505e+11
N2-U1	24542.3		9.75346e+10
N2-U4	24543.9		6.19742e+11
N2-V1	25168		7.46739e+10
N2-V4	25169.2		4.75689e+11
N2-W1	25654.8		5.84532e+10
N2-W4	25655.8		3.73091e+11
N2-X1	26041.1		4.6622e+10
N2-X4	26041.9		2.98036e+11
N2-Y1	26352.7		3.77875e+10
N2-Y4	26353.3		2.41861e+11
N2-Z1	26607.7		3.10562e+10
N2-Z4	26608.2		1.98978e+11
N2-[1	26819		2.58366e+10
N2-[4	26819.5		1.65674e+11
N2-\1	26996.1		2.17262e+10
N2-\4	26996.5		1.39414e+11
N2-]1	27146		-nan
N2-]4	27146.3		1.18428e+11
N2-^1	27274		-nan
N2-^4	27274.2		-nan
N3-N1	135.646		1.32955e+08
N3-N4	12.2323		7802.31
N3-N5	23.3931		327784
N3-O1	10737.5		2.34523e+12
N3-O4	10675.4		1.45659e+12
N3-O5	10681.2		8.72084e+12
N3-P1	16493.9		1.30842e+12
N3-P4	16459.2		8.44245e+11
N3-P5	16462.4		5.06181e+12
N3-Q1	19957.2		7.92902e+11
N3-Q4	19936.6		5.21232e+11
N3-Q5	19938.7		3.12368e+12
N3-R1	22195.1		5.15358e+11
N3-R4	22182.5		3.42021e+11
N3-R5	22183.9		2.05183e+12
N3-S1	23718.2		3.52593e+11
N3-S4	23710.5		2.35385e+11
N3-S5	23711.5		1.41307e+12
N3-T1	23686.4		2.6509e+11
N3-T4	23688.6		1.65307e+11
N3-T5	23689.3		9.9276e+11
N3-U1	24509.1		1.97585e+11
N3-U4	24510.7		1.23625e+11
N3-U5	24511.2		7.42545e+11
N3-V1	25134.7		1.5126e+11
N3-V4	25135.9		9.4877e+10
N3-V5	25136.3		5.69902e+11
N3-W1	25621.5		1.18401e+11
N3-W4	25622.5		7.44072e+10
N3-W5	25622.8		4.46951e+11
N3-X1	26007.8		9.44364e+10
N3-X4	26008.6		5.94353e+10
N3-X5	26008.9		3.57015e+11
N3-Y1	26319.4		7.65433e+10
N3-Y4	26320.1		4.82309e+10
N3-Y5	26320.3		2.89708e+11
