# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
N1-T2	772494		2.75194e+14
N1-T3	776058		4.95392e+14
N1-U2	804451		1.98412e+14
N1-U3	807121		3.63266e+14
N1-V2	828663		1.48184e+14
N1-V3	830715		2.74761e+14
N1-W2	847444		1.13806e+14
N1-W3	849054		2.13096e+14
N1-X2	862304		8.94182e+13
N1-X3	863591		1.68737e+14
N2-N1	146281		1.80271e+15
N2-O1	479365		1.20463e+14
N2-O4	397147		1.1002e+16
N2-P1	666491		4.55959e+13
N2-P4	618448		6.12662e+15
N2-Q1	724810		1.10441e+15
N2-Q4	735326		3.66251e+15
N2-R1	814388		7.14489e+14
N2-R4	821399		2.39613e+15
N2-S1	875385		4.89752e+14
N2-S4	880289		1.65328e+15
N2-T1	918775		3.50701e+14
N2-T4	922339		1.18921e+15
N2-U1	950732		2.59924e+14
N2-U4	953402		8.84337e+14
N2-V1	974944		1.98086e+14
N2-V4	976995		6.75703e+14
N2-W1	993725		1.54477e+14
N2-W4	995335		5.28054e+14
N2-X1	1.00858e+06		1.22825e+14
N2-X4	1.00987e+06		4.20589e+14
N2-Y1	1.02054e+06		9.92867e+13
N3-N1	128721		2.63202e+15
N3-O1	461805		5.45773e+13
N3-O4	379587		2.26889e+15
N3-O5	387382		1.2848e+16
N3-P1	648931		1.24079e+13
N3-P4	600888		1.20543e+15
N3-P5	605365		7.14457e+15
N3-Q1	707250		2.37385e+15
N3-Q4	717766		7.05016e+14
N3-Q5	720790		4.2563e+15
N3-R1	796828		1.53166e+15
N3-R4	803838		4.55909e+14
N3-R5	805862		2.78927e+15
N3-S1	857825		1.04826e+15
N3-S4	862729		3.12267e+14
N3-S5	864149		1.92708e+15
N3-T1	901215		7.49996e+14
N3-T4	904778		2.23521e+14
N3-T5	905812		1.38756e+15
N3-U1	933172		5.55597e+14
N3-U4	935841		1.6565e+14
N3-U5	936617		1.03265e+15
N3-V1	957384		4.23297e+14
N3-V4	959435		1.26253e+14
N3-V5	960032		7.89534e+14
N3-W1	976165		3.3005e+14
N3-W4	977775		9.84793e+13
N3-W5	978244		6.17342e+14
N3-X1	991024		2.62394e+14
N3-X4	992311		7.83226e+13
N3-X5	992686		4.91929e+14
N3-Y1	1.00298e+06		2.12093e+14
N4-N2	11583.7		1.64862e+12
N4-N3	29143.8		2.5821e+12
N4-N6	15178.4		1.36771e+12
N4-O2	415092		1.25725e+15
N4-O3	423860		8.49506e+13
N4-O6	416406		1.98269e+16
N4-P2	633830		6.27595e+14
N4-P3	638828		4.3256e+13
N4-P6	634446		1.0193e+16
N4-Q2	736394		9.23457e+14
N4-Q3	746910		4.55992e+13
N4-Q6	749934		5.77341e+15
N4-R2	825971		5.82465e+14
N4-R3	832982		2.89053e+13
N4-R6	835006		3.66034e+15
N4-S2	886969		3.92547e+14
N4-S3	891873		1.95428e+13
N4-S6	893292		2.47329e+15
N4-T2	930359		2.7779e+14
N4-T3	933922		1.38589e+13
N4-T6	934956		1.7533e+15
N4-U2	962316		2.04126e+14
N4-U3	964985		1.01994e+13
N4-U6	965761		1.29011e+15
N4-V2	986528		1.54567e+14
N4-V3	988579		7.73219e+12
N4-V6	989176		9.7799e+14
N4-W2	1.00531e+06		1.19944e+14
N4-W3	1.00692e+06		6.00604e+12
N4-W6	1.00739e+06		7.59677e+14
N4-X2	1.02017e+06		9.49983e+13
N4-X3	1.02145e+06		4.76087e+12
N4-X6	1.02183e+06		6.02215e+14
N5-N3	13768.9		2.55957e+12
N5-N7	7688.92		1.91742e+11
N5-O3	408485		1.0567e+15
N5-O6	401031		1.4109e+15
N5-O7	405078		2.09685e+16
N5-P3	623453		5.31288e+14
N5-P6	619071		6.90176e+14
N5-P7	621412		1.05842e+16
N5-Q3	731535		5.0506e+14
N5-Q6	734559		3.82627e+14
N5-Q7	736023		5.95014e+15
N5-R3	817607		3.19512e+14
N5-R6	819631		2.39374e+14
N5-R7	820611		3.7585e+15
N5-S3	876498		2.1573e+14
N5-S6	877917		1.60377e+14
N5-S7	878606		2.53395e+15
N5-T3	918547		1.5289e+14
N5-T6	919581		1.13044e+14
N5-T7	920082		1.79363e+15
N5-U3	949610		1.12491e+14
N5-U6	950386		8.2845e+13
N5-U7	950763		1.31841e+15
N5-V3	973204		8.52759e+13
N5-V6	973801		6.26161e+13
N5-V7	974091		9.987e+14
N5-W3	991544		6.62416e+13
N5-W6	992013		4.8529e+13
N5-W7	992241		7.75335e+14
N5-X3	1.00608e+06		5.25128e+13
N5-X6	1.00646e+06		3.84025e+13
N5-X7	1.00664e+06		6.14372e+14
N6-N5	196.535		207516
N6-O4	393552		5.61281e+14
N6-O5	401347		1.99074e+13
N6-O8	405548		3.38855e+16
N6-P4	614853		2.39019e+14
N6-P5	619331		8.52283e+12
N6-P8	621795		1.11174e+16
N6-Q4	731731		1.23811e+14
N6-Q5	734756		4.28232e+12
N6-Q8	736219		5.17982e+15
N6-R4	817804		7.4561e+13
N6-R5	819827		2.57679e+12
N6-R8	820807		2.93909e+15
N6-S4	876695		4.87377e+13
N6-S5	878114		1.68327e+12
N6-S8	878802		1.85253e+15
N6-T4	918744		3.37683e+13
N6-T5	919777		1.16534e+12
N6-T8	920279		1.25308e+15
N6-U4	949807		2.44399e+13
N6-U5	950583		8.42752e+11
N6-U8	950959		8.91834e+14
N6-V4	973401		1.82994e+13
N6-V5	973998		6.30566e+11
N6-V8	974287		6.59657e+14
N6-W4	991740		1.408e+13
N6-W5	992209		4.84882e+11
N6-W8	992437		5.02914e+14
N6-X4	1.00628e+06		1.10784e+13
N6-X5	1.00665e+06		3.81327e+11
N6-X8	1.00683e+06		3.92907e+14
N7-O5	393462		4.59957e+14
N7-O8	397663		1.21097e+15
N7-O9	400050		3.45123e+16
N7-P5	611445		1.96256e+14
N7-P8	613909		3.83332e+14
N7-P9	615293		1.12175e+16
N7-Q5	726870		9.91367e+13
N7-Q8	728334		1.75521e+14
N7-Q9	729200		5.20504e+15
N7-R5	811942		5.95826e+13
N7-R8	812922		9.8515e+13
N7-R9	813502		2.94741e+15
N7-S5	870229		3.88924e+13
N7-S8	870917		6.16636e+13
N7-S9	871324		1.85539e+15
N7-T5	911892		2.69238e+13
N7-T8	912393		4.15141e+13
N7-T9	912690		1.25391e+15
N7-U5	942697		1.94762e+13
N7-U8	943074		2.9447e+13
N7-U9	943297		8.91865e+14
N7-V5	966112		1.45784e+13
N7-V8	966402		2.17265e+13
N7-V9	966574		6.59379e+14
N7-W5	984324		1.12149e+13
N7-W8	984552		1.65323e+13
N7-W9	984687		5.02531e+14
N7-X5	998766		8.82316e+12
N7-X8	998949		1.28966e+13
N7-X9	999057		3.92506e+14
O1-P2	142882		2.8386e+15
O1-P3	147880		2.83433e+15
O1-Q2	245446		8.31821e+14
O1-Q3	255961		1.18908e+15
O1-R2	335023		4.50947e+14
O1-R3	342034		7.01886e+14
O1-S2	396020		2.80411e+14
O1-S3	400925		4.58907e+14
O1-T2	439410		1.88814e+14
O1-T3	442974		3.18936e+14
O1-U2	471367		1.34248e+14
O1-U3	474037		2.31674e+14
O1-V2	495579		9.93276e+13
O1-V3	497631		1.74087e+14
O1-W2	514360		7.57771e+13
O1-W3	515970		1.34383e+14
O1-X2	529220		5.92433e+13
O1-X3	530507		1.06038e+14
O2-O1	75855.9		6.31359e+14
O2-P1	262983		3.57058e+13
O2-P4	214939		3.36714e+15
O2-Q1	321301		7.85258e+14
O2-Q4	331817		2.00499e+15
O2-R1	410879		4.97409e+14
O2-R4	417890		1.32649e+15
O2-S1	471876		3.37165e+14
O2-S4	476781		9.18973e+14
O2-T1	515266		2.39516e+14
O2-T4	518830		6.61996e+14
O2-U1	547223		1.76466e+14
O2-U4	549893		4.92576e+14
O2-V1	571435		1.33884e+14
O2-V4	573487		3.76473e+14
O2-W1	590216		1.04055e+14
O2-W4	591826		2.94253e+14
O2-X1	605076		8.25174e+13
O2-X4	606362		2.3439e+14
O2-Y1	617034		6.65659e+13
O3-O1	67088.8		9.29709e+14
O3-P1	254215		1.17363e+13
O3-P4	206172		7.10026e+14
O3-P5	210650		3.96398e+15
O3-Q1	312534		1.68318e+15
O3-Q4	323050		4.03981e+14
O3-Q5	326075		2.34247e+15
O3-R1	402112		1.06311e+15
O3-R4	409123		2.6273e+14
O3-R5	411146		1.55066e+15
O3-S1	463109		7.18331e+14
O3-S4	468014		1.79977e+14
O3-S5	469433		1.07599e+15
O3-T1	506499		5.09456e+14
O3-T4	510063		1.28734e+14
O3-T5	511096		7.75991e+14
O3-U1	538456		3.75097e+14
O3-U4	541126		9.53457e+13
O3-U5	541901		5.7784e+14
O3-V1	562668		2.84521e+14
O3-V4	564720		7.2638e+13
O3-V5	565316		4.41887e+14
O3-W1	581449		2.21121e+14
O3-W4	583059		5.66405e+13
O3-W5	583528		3.45536e+14
O3-X1	596309		1.75356e+14
O3-X4	597595		4.50363e+13
O3-X5	597971		2.75344e+14
O3-Y1	608267		1.41464e+14
O4-O2	6361.8		7.56927e+11
O4-O3	15128.8		1.00375e+12
O4-O6	7675.07		6.33674e+11
O4-P2	225100		6.43484e+14
O4-P3	230097		4.50564e+13
O4-P6	225715		5.4076e+15
O4-Q2	327663		8.2839e+14
O4-Q3	338179		4.30632e+13
O4-Q6	341204		3.18915e+15
O4-R2	417241		5.07741e+14
O4-R3	424252		2.65863e+13
O4-R6	426275		2.07909e+15
O4-S2	478238		3.3646e+14
O4-S3	483142		1.77171e+13
O4-S6	484562		1.42251e+15
O4-T2	521628		2.35298e+14
O4-T3	525192		1.24299e+13
O4-T6	526225		1.01504e+15
O4-U2	553585		1.71423e+14
O4-U3	556255		9.07066e+12
O4-U6	557030		7.49833e+14
O4-V2	577797		1.28979e+14
O4-V3	579848		6.83096e+12
O4-V6	580445		5.69912e+14
O4-W2	596578		9.96077e+13
O4-W3	598188		5.27835e+12
O4-W6	598657		4.43511e+14
O4-X2	611437		7.85985e+13
O4-X3	612724		4.16676e+12
O4-X6	613099		3.52063e+14
O5-O3	7334.06		1.06596e+12
O5-O7	3927.67		9.14792e+10
O5-P3	222303		5.46529e+14
O5-P6	217920		3.98247e+14
O5-P7	220262		5.81747e+15
O5-Q3	330384		4.69958e+14
O5-Q6	333409		2.24443e+14
O5-Q7	334872		3.36935e+15
O5-R3	416457		2.90475e+14
O5-R6	418480		1.43549e+14
O5-R7	419460		2.17967e+15
O5-S3	475348		1.92939e+14
O5-S6	476767		9.69531e+13
O5-S7	477455		1.48586e+15
O5-T3	517397		1.35117e+14
O5-T6	518430		6.86182e+13
O5-T7	518932		1.05774e+15
O5-U3	548460		9.85575e+13
O5-U6	549235		5.0418e+13
O5-U7	549612		7.80056e+14
O5-V3	572054		7.42378e+13
O5-V6	572650		3.81762e+13
O5-V7	572940		5.92146e+14
O5-W3	590393		5.73899e+13
O5-W6	590862		2.96265e+13
O5-W7	591090		4.60386e+14
O5-X3	604929		4.53263e+13
O5-X6	605305		2.34675e+13
O5-X7	605487		3.652e+14
O6-O5	119.69		168885
O6-O8	4320.72		6.88633e+10
O6-P4	213626		4.20494e+14
O6-P5	218103		1.53238e+13
O6-P8	220568		8.70751e+15
O6-Q4	330504		1.95336e+14
O6-Q5	333529		7.00097e+12
O6-Q8	334992		4.20492e+15
O6-R4	416576		1.12885e+14
O6-R5	418600		4.02623e+12
O6-R8	419580		2.45098e+15
O6-S4	475467		7.19274e+13
O6-S5	476887		2.56759e+12
O6-S8	477575		1.56364e+15
O6-T4	517516		4.89517e+13
O6-T5	518550		1.74726e+12
O6-T8	519051		1.06449e+15
O6-U4	548580		3.49726e+13
O6-U5	549355		1.24703e+12
O6-U8	549732		7.60592e+14
O6-V4	572173		2.59354e+13
O6-V5	572770		9.23589e+11
O6-V8	573060		5.64058e+14
O6-W4	590513		1.98105e+13
O6-W5	590982		7.04594e+11
O6-W8	591210		4.30831e+14
O6-X4	605049		1.54996e+13
O6-X5	605424		5.50672e+11
O6-X8	605607		3.37054e+14
O7-O8	273.363		636501
O7-O9	2660.88		1.6716e+10
O7-P5	214056		3.50403e+14
O7-P8	216520		3.1956e+14
O7-P9	217903		8.95294e+15
O7-Q5	329481		1.59611e+14
O7-Q8	330945		1.49586e+14
O7-Q9	331811		4.28343e+15
O7-R5	414553		9.22393e+13
O7-R8	415533		8.59845e+13
O7-R9	416113		2.48659e+15
O7-S5	472839		5.86471e+13
O7-S8	473527		5.43115e+13
O7-S9	473935		1.58327e+15
O7-T5	514503		3.98584e+13
O7-T8	515004		3.67457e+13
O7-T9	515301		1.07641e+15
O7-U5	545308		2.84564e+13
O7-U8	545684		2.61488e+13
O7-U9	545908		7.68345e+14
O7-V5	568723		2.10963e+13
O7-V8	569013		1.93362e+13
O7-V9	569185		5.69388e+14
O7-W5	586934		1.61118e+13
O7-W8	587162		1.4737e+13
O7-W9	587298		4.34663e+14
O7-X5	601377		1.26051e+13
O7-X8	601559		1.15097e+13
O7-X9	601668		3.3991e+14
O8-P6	213719		1.11477e+14
O8-P7	216061		2.62243e+12
O8-P10	217810		1.31401e+16
O8-Q6	329208		4.21258e+13
O8-Q7	330671		9.87403e+11
O8-Q10	331537		3.92934e+15
O8-R6	414279		2.20452e+13
O8-R7	415259		5.12997e+11
O8-R10	415840		1.8333e+15
O8-S6	472566		1.31809e+13
O8-S7	473254		3.06928e+11
O8-S10	473662		1.02843e+15
O8-T6	514229		8.59006e+12
O8-T7	514731		1.99868e+11
O8-T10	515028		6.44454e+14
O8-U6	545034		5.95036e+12
O8-U7	545411		1.38184e+11
O8-U10	545634		4.34875e+14
O8-V6	568449		4.3132e+12
O8-V7	568739		9.99536e+10
O8-V10	568911		3.09421e+14
O8-W6	586661		3.2379e+12
O8-W7	586889		7.48923e+10
O8-W10	587024		2.29102e+14
O8-X6	601104		2.49929e+12
O8-X7	601286		5.77163e+10
O8-X10	601394		1.74984e+14
O9-P7	213673		1.00635e+14
O9-P10	215423		2.91938e+14
O9-P11	216336		1.33124e+16
O9-Q7	328284		3.79142e+13
O9-Q10	329150		8.51476e+13
O9-Q11	329723		3.96057e+15
O9-R7	412872		1.98138e+13
O9-R10	413452		3.92504e+13
O9-R11	413837		1.84368e+15
O9-S7	470867		1.1815e+13
O9-S10	471274		2.18308e+13
O9-S11	471544		1.03307e+15
O9-T7	512343		7.68802e+12
O9-T10	512640		1.36077e+13
O9-T11	512837		6.46832e+14
O9-U7	543023		5.32137e+12
O9-U10	543247		9.14964e+12
O9-U11	543395		4.36214e+14
O9-V7	566352		3.85567e+12
O9-V10	566524		6.49301e+12
O9-V11	566638		3.10235e+14
O9-W7	584502		2.89371e+12
O9-W10	584637		4.79778e+12
O9-W11	584726		2.2963e+14
O9-X7	598899		2.23322e+12
O9-X10	599007		3.65848e+12
O9-X11	599079		1.75344e+14
P1-Q2	58318.9		8.54978e+14
P1-Q3	68834.7		9.8745e+14
P1-R2	147896		3.69882e+14
P1-R3	154907		5.22255e+14
P1-S2	208894		2.14751e+14
P1-S3	213798		3.27504e+14
P1-T2	252284		1.39829e+14
P1-T3	255847		2.23377e+14
P1-U2	284241		9.7454e+13
P1-U3	286910		1.60247e+14
P1-V2	308453		7.12095e+13
P1-V3	310504		1.19399e+14
P1-W2	327233		5.387e+13
P1-W3	328844		9.16297e+13
P1-X2	342093		4.18603e+13
P1-X3	343380		7.20009e+13
P2-P1	44244.8		2.64142e+14
P2-Q1	102564		5.83647e+14
P2-Q4	113080		1.12404e+15
P2-R1	192141		3.68878e+14
P2-R4	199152		7.95809e+14
P2-S1	253138		2.46139e+14
P2-S4	258043		5.59433e+14
P2-T1	296529		1.7342e+14
P2-T4	300092		4.05211e+14
P2-U1	328485		1.26898e+14
P2-U4	331155		3.02106e+14
P2-V1	352697		9.57553e+13
P2-V4	354749		2.31098e+14
P2-W1	371478		7.41137e+13
P2-W4	373088		1.80713e+14
