# Z = 79, A = 197 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
]5-p6	36675.2		-nan
]5-p7	36684.2		-nan
]5-q2	37217		-nan
]5-q3	37275.6		-nan
]5-q6	37292.8		-nan
]5-q7	37301.2		-nan
]5-r2	37794.4		-nan
]5-r3	37848.7		-nan
]5-r6	37864.7		-nan
]5-r7	37872.5		-nan
]6-]8	72.8623		1.84423e+08
]6-^4	4645.64		-nan
]6-^5	4773.94		1.20446e+11
]6-^8	4836.39		4.45529e+12
]6-_4	8770.26		-nan
]6-_5	8881.05		-nan
]6-_8	8934.99		3.99539e+12
]6-`4	12343.6		1.84922e+12
]6-`5	12440		-nan
]6-`8	12486.9		-nan
]6-a4	15459.8		-nan
]6-a5	15544		6.29196e+10
]6-a8	15585.1		-nan
]6-a9	15609.5		-nan
]6-b4	18193.5		-nan
]6-b5	18267.6		-nan
]6-b8	18303.7		2.61678e+12
]6-b9	18325.2		-nan
]6-c4	20604.8		-nan
]6-c5	20670.4		-nan
]6-c8	20702.4		-nan
]6-d4	22742.6		8.98778e+11
]6-d5	22800.9		-nan
]6-d8	22829.3		-nan
]6-d9	22846.2		-nan
]6-e4	24646.7		-nan
]6-e5	24698.7		3.15159e+10
]6-e8	24724.1		-nan
]6-e9	24739.1		-nan
]6-f4	26349.9		6.79762e+11
]6-f5	26396.5		-nan
]6-f8	26419.3		1.6072e+12
]6-f9	26432.8		-nan
]6-g4	27879.6		-nan
]6-g5	27921.5		2.46247e+10
]6-g8	27942		-nan
]6-h4	29258.4		5.23035e+11
]6-h5	29296.3		-nan
]6-h8	29314.8		1.28921e+12
]6-h9	29325.8		-nan
]6-i4	30505.7		-nan
]6-i5	30540.1		1.87257e+10
]6-i8	30556.8		-nan
]6-j4	31637.7		-nan
]6-j5	31668.9		-nan
]6-j8	31684.1		1.0574e+12
]6-j9	31693.2		-nan
]6-k4	32668.1		3.71317e+11
]6-k5	32696.5		-nan
]6-k8	32710.4		-nan
]6-l4	33608.7		3.3532e+11
]6-l5	33634.7		1.30709e+10
]6-l8	33647.4		-nan
]6-l9	33654.9		-nan
]6-m4	34469.6		-nan
]6-m5	34493.5		1.18335e+10
]6-m8	34505.1		8.05266e+11
]6-m9	34512		-nan
]6-n4	35259.7		-nan
]6-n5	35281.6		-nan
]6-n8	35292.3		7.38618e+11
]6-o4	35986.5		-nan
]6-o5	36006.7		-nan
]6-o8	36016.5		-nan
]6-p4	36656.5		-nan
]6-p5	36675.2		-nan
]6-p8	36684.2		-nan
]6-p9	36689.6		-nan
]6-q4	37275.6		-nan
]6-q5	37292.8		-nan
]6-q8	37301.2		-nan
]6-q9	37306.2		-nan
]6-r4	37848.7		-nan
]6-r5	37864.7		-nan
]6-r8	37872.5		-nan
]6-r9	37877.1		-nan
]7-]9	43.2539		4.00241e+07
]7-^4	4572.78		-nan
]7-^5	4701.08		2.65062e+12
]7-^8	4763.53		1.75422e+11
]7-^9	4800.61		4.72664e+12
]7-_4	8697.4		-nan
]7-_5	8808.19		-nan
]7-_8	8862.13		1.53858e+11
]7-_9	8894.15		4.21387e+12
]7-`5	12367.1		-nan
]7-`8	12414		-nan
]7-`9	12441.8		3.62993e+12
]7-a4	15386.9		-nan
]7-a5	15471.2		1.31706e+12
]7-a8	15512.2		-nan
]7-a9	15536.6		-nan
]7-b4	18120.6		-nan
]7-b5	18194.8		-nan
]7-b8	18230.9		9.9497e+10
]7-b9	18252.3		-nan
]7-c4	20532		-nan
]7-c5	20597.6		-nan
]7-c8	20629.5		-nan
]7-c9	20648.5		2.39854e+12
]7-d5	22728		-nan
]7-d8	22756.4		-nan
]7-d9	22773.3		-nan
]7-e4	24573.8		-nan
]7-e5	24625.9		6.80544e+11
]7-e8	24651.2		-nan
]7-e9	24666.3		-nan
]7-f5	26323.7		-nan
]7-f8	26346.4		5.95228e+10
]7-f9	26359.9		-nan
]7-g4	27806.7		-nan
]7-g5	27848.7		5.14417e+11
]7-g8	27869.1		-nan
]7-g9	27881.3		1.50347e+12
]7-h5	29223.5		-nan
]7-h8	29242		4.81658e+10
]7-h9	29252.9		-nan
]7-i4	30432.9		-nan
]7-i5	30467.2		4.04832e+11
]7-i8	30484		-nan
]7-i9	30493.9		1.2132e+12
]7-j4	31564.8		-nan
]7-j5	31596		-nan
]7-j8	31611.3		4.02341e+10
]7-j9	31620.3		-nan
]7-k5	32623.7		-nan
]7-k8	32637.5		-nan
]7-k9	32645.8		9.97725e+11
]7-l5	33561.8		2.96251e+11
]7-l8	33574.5		-nan
]7-l9	33582		-nan
]7-m4	34396.8		-nan
]7-m5	34420.6		2.68746e+11
]7-m8	34432.3		3.07082e+10
]7-m9	34439.2		-nan
]7-n4	35186.9		-nan
]7-n5	35208.8		-nan
]7-n8	35219.5		2.80383e+10
]7-n9	35225.8		7.63909e+11
]7-o4	35913.6		-nan
]7-o5	35933.8		-nan
]7-o8	35943.7		-nan
]7-o9	35949.5		7.02311e+11
]7-p4	36583.7		-nan
]7-p5	36602.3		-nan
]7-p8	36611.4		-nan
]7-p9	36616.8		-nan
]7-q4	37202.7		-nan
]7-q5	37220		-nan
]7-q8	37228.4		-nan
]7-q9	37233.3		-nan
]7-r4	37775.9		-nan
]7-r5	37791.8		-nan
]7-r8	37799.6		-nan
]7-r9	37804.2		-nan
]8-]10	43.2539		3.90215e+07
]8-^6	4701.08		2.27484e+12
]8-^7	4763.53		5.69181e+10
]8-^10	4800.61		5.36665e+12
]8-_6	8808.19		-nan
]8-_7	8862.13		4.35424e+10
]8-_10	8894.15		4.79808e+12
]8-`6	12367.1		-nan
]8-`7	12414		-nan
]8-`10	12441.8		4.15768e+12
]8-a6	15471.2		1.06945e+12
