# Z = 6, A = 12 amu, m = 206.768 au
Line	DeltaE (eV)	W_12 (s^-1)
M4-R2	9563.23		7.86394e+09
M4-R3	9563.42		7.82051e+08
M4-R6	9565.37		1.83802e+11
M4-S2	9883.18		5.29547e+09
M4-S3	9883.31		5.26769e+08
M4-S6	9885.3		1.21374e+11
M4-T2	9794.57		3.75194e+09
M4-T3	9794.67		3.73304e+08
M4-T6	9794.7		8.54564e+10
M4-U2	9968.74		2.78116e+09
M4-U3	9968.81		2.76753e+08
M4-U6	9968.84		6.27262e+10
M4-V2	10101.2		2.12036e+09
M4-V3	10101.3		2.11017e+08
M4-V6	10101.3		4.74745e+10
M4-W2	10204.3		1.65448e+09
M4-W3	10204.3		1.64663e+08
M4-W6	10204.3		3.68371e+10
M4-X2	10286.1		1.31631e+09
M4-X3	10286.1		1.31013e+08
M4-X6	10286.1		2.91799e+10
M4-Y2	10352.1		1.06476e+09
M4-Y3	10352.1		1.05981e+08
M4-Y6	10352.1		2.35214e+10
M4-Z2	10406.1		8.73679e+08
M4-Z3	10406.1		8.69637e+07
M4-Z6	10406.1		1.92457e+10
M4-[2	10450.8		7.25875e+08
M4-[3	10450.9		7.22533e+07
M4-[6	10450.9		1.59526e+10
M4-\2	10488.3		6.09722e+08
M4-\3	10488.4		6.06926e+07
M4-\6	10488.4		1.33739e+10
M4-]2	10520.1		-nan
M4-]3	10520.1		5.14793e+07
M4-]6	10520.1		1.1325e+10
M4-^2	10547.2		-nan
M4-^3	10547.2		-nan
M4-^6	10547.2		9.67604e+09
M5-N3	4875.15		8.36869e+10
M5-N6	4878.59		2.44132e+11
M5-N7	4878.84		3.66247e+12
M5-O3	7131.94		3.5956e+10
M5-O6	7134.26		8.03698e+10
M5-O7	7134.38		1.20608e+12
M5-P3	8355.19		1.87626e+10
M5-P6	8357.18		3.7894e+10
M5-P7	8357.25		5.68445e+11
M5-Q3	9089.49		1.1057e+10
M5-Q6	9091.41		2.11987e+10
M5-Q7	9091.46		3.18124e+11
M5-R3	9562.23		7.05184e+09
M5-R6	9564.18		1.3114e+10
M5-R7	9564.21		1.96851e+11
M5-S3	9882.12		4.74766e+09
M5-S6	9884.11		8.65881e+09
M5-S7	9884.13		1.29994e+11
M5-T3	9793.48		3.36329e+09
M5-T6	9793.51		6.09598e+09
M5-T7	9793.53		9.15265e+10
M5-U3	9967.62		2.49285e+09
M5-U6	9967.65		4.47438e+09
M5-U7	9967.66		6.71819e+10
M5-V3	10100.1		1.90044e+09
M5-V6	10100.1		3.38639e+09
M5-V7	10100.1		5.08468e+10
M5-W3	10203.1		1.48281e+09
M5-W6	10203.2		2.62758e+09
M5-W7	10203.2		3.94536e+10
M5-X3	10284.9		1.1797e+09
M5-X6	10284.9		2.08139e+09
M5-X7	10284.9		3.12525e+10
M5-Y3	10350.9		9.54239e+08
M5-Y6	10350.9		1.67776e+09
M5-Y7	10350.9		2.51919e+10
M5-Z3	10404.9		7.82979e+08
M5-Z6	10404.9		1.37278e+09
M5-Z7	10404.9		2.06124e+10
M5-[3	10449.7		6.50512e+08
M5-[6	10449.7		1.13789e+09
M5-[7	10449.7		1.70853e+10
M5-\3	10487.2		5.46414e+08
M5-\6	10487.2		9.53952e+08
M5-\7	10487.2		1.43233e+10
M5-]2	10518.9		-nan
M5-]3	10518.9		4.63457e+08
M5-]6	10518.9		8.07808e+08
M5-]7	10518.9		1.21288e+10
M5-^2	10546		-nan
M5-^3	10546		-nan
M5-^6	10546		6.90186e+08
M5-^7	10546		1.03625e+10
N1-O2	2254.33		1.96299e+11
N1-O3	2255.1		1.95858e+11
N1-P2	3477.91		1.18161e+11
N1-P3	3478.36		1.17988e+11
