Energy, Intensity, Transition 
 0.0810776,  1.721759504963789e-09,  V14-V12
 0.6881430000000001,  1.8503919919656535e-09,  S7-S5
 0.204422,  1.9195846470845895e-09,  R15-R13
 1.0334400000000001,  1.9528174273259263e-09,  T5-T3
 0.376556,  1.986933926992796e-09,  U8-U6
 0.192078,  2.2240353818440033e-09,  S14-S12
 0.297191,  2.2263511258677623e-09,  T10-T8
 0.113922,  2.2729686348561583e-09,  V11-V9
 0.273331,  2.5366240571396274e-09,  R13-R11
 0.384287,  2.7970380402068275e-09,  R11-R9
 0.26999599999999996,  3.0574054041715213e-09,  S12-S10
 0.580451,  3.0724265180103057e-09,  R9-R7
 1.4192799999999999,  3.3334773913686015e-09,  S5-S3
 0.113922,  3.4335796679217666e-09,  V12-V10
 0.501429,  3.507542449593161e-09,  T8-T6
 0.9801810000000001,  3.622394467708819e-09,  R7-R5
 0.40770100000000004,  4.1976692827853485e-09,  S10-S8
 0.775621,  4.297350680824298e-09,  U6-U4
 0.273331,  4.341598301112802e-09,  R14-R12
 0.17192500000000002,  4.44055660432066e-09,  V9-V7
 2.02342,  6.177888878159031e-09,  R5-R3
 0.40759300000000004,  6.347224877695382e-09,  Q13-Q11
 0.6881430000000001,  6.453459037881286e-09,  S8-S6
 0.384287,  6.600954814130734e-09,  R12-R10
 0.573196,  7.16222008329204e-09,  Q11-Q9
 0.866113,  7.340130178011241e-09,  Q9-Q7
 1.0334400000000001,  7.437796875089264e-09,  T6-T4
 0.17192500000000002,  7.56154768700556e-09,  V10-V8
 1.46344,  8.063410902682005e-09,  Q7-Q5
 0.580451,  8.85954636957155e-09,  R10-R8
 0.289914,  1.0020441077858329e-08,  V7-V5
 3.02452,  1.275694738956193e-08,  Q5-Q3
 0.9801810000000001,  1.3098795343006774e-08,  R8-R6
 1.4192799999999999,  1.3309869734375694e-08,  S6-S4
 0.573196,  1.6311827279008204e-08,  Q12-Q10
 0.289914,  2.0142340642893582e-08,  V8-V6
 2.3234,  2.206572898191253e-08,  P7-P5
 0.866113,  2.2429372513124246e-08,  Q10-Q8
 1.3739700000000001,  2.2981909440769874e-08,  P9-P7
 0.908846,  2.4249108713954257e-08,  P11-P9
 2.02342,  2.5952989067428806e-08,  R6-R4
 2.66976,  2.84366606819706e-08,  U3-U1
 343.862,  3.0033294141929525e-08,  U9-P10
 4.8091800000000005,  3.088974137999105e-08,  P5-P3
 1.46344,  3.1017230820392186e-08,  Q8-Q6
 560.783,  3.187089451467576e-08,  U7-O8
 213.672,  3.1970489321748444e-08,  U11-Q12
 0.596863,  3.419034641023902e-08,  V5-V3
 129.39,  4.034526154041517e-08,  U13-R14
 3.56345,  4.303881482426675e-08,  T3-T1
 2.66976,  4.3247272600677025e-08,  U4-U2
 947.186,  4.390386567869573e-08,  U5-N6
 530.103,  5.03344704181132e-08,  T7-O8
 313.256,  5.3069859111795104e-08,  T9-P10
 3.02452,  5.744818930086436e-08,  Q6-Q4
 345.013,  6.165136774542867e-08,  U7-P8
 916.381,  6.24800015526327e-08,  T5-N6
 183.114,  6.566669017857296e-08,  T11-Q12
 564.416,  6.712718008915424e-08,  U5-O6
 3.56345,  6.72118070923485e-08,  T4-T2
 71.6986,  6.864650934280776e-08,  U15-S16
 4.9044,  6.908876988154466e-08,  S3-S1
 214.097,  7.19159788607244e-08,  U9-Q10
 1.3739700000000001,  7.474283574816092e-08,  P10-P8
 346.96,  7.664337544370347e-08,  U5-P6
 0.596863,  7.842733900193377e-08,  V6-V4
 215.827,  8.036547052689188e-08,  U5-Q6
 130.755,  8.143828281863615e-08,  U5-R6
 488.626,  8.369854597138174e-08,  S7-O8
